setting,mode,qid,level,qtype,question,gold_answer,gold_ids,retrieved_ids,prediction,raw_generation,parsed_ok,prompt_tokens,decode_tokens,n_paragraphs
kv_hqq_n4_g32_r512,explain,5a7a567255429941d65f25bd,hard,bridge,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,5 9,9 6 4 3 8,Dwarka,"[1] states that Iqbal F. Qadir participated in an attack on a radar station in Dwarka, India. Dwarka is located on the western shore of the Gulf of Khambhal, which is part of the Arabian Sea. [2] provides information about radar stations built during World War II, but it does not mention any radar station on the western shore of the Okhamandal Peninsula. [3]-[5] are unrelated to the question.
Connecting the useful passages:
Iqbal F. Qadir participated in an attack on a radar station in Dwarka, India, which is situated on the western shore of the Gulf of Khambhal.
Answer: Dwarka",1,699,144,10
kv_hqq_n4_g32_r512,explain,5abca1a55542993a06baf937,hard,bridge,When did the park at which Tivolis Koncertsal is located open?,15 August 1843,0 1,0 1 9 8 4,15 August 1843,"Sentence 1: [1] states that Tivolis Koncertsal is located at Tivoli Gardens in Copenhagen, Denmark.
Sentence 2: [2] provides information about Tivoli Gardens, mentioning its opening date of 15 August 1843.
Connecting the useful passages: From [1], we know Tivolis Koncertsal is at Tivoli Gardens; from [2], Tivoli Gardens opened in 1843.
Answer: 15 August 1843",1,419,108,10
kv_hqq_n4_g32_r512,explain,5a73977d554299623ed4ac08,hard,comparison,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,0 8,8 0 5 7 2,Armenia,"Sentence 1: Art Laboe was born Arthur Egnoian on August 7, 1925, and is of Armenian American descent.
Sentence 2: Scout Tufankjian is an Armenian-American photojournalist and author.
Connection: Since both Art Laboe and Scout Tufankjian are of Armenian American descent, we can conclude that their shared country of ancestry is Armenia.
Answer: Armenia",1,501,84,10
kv_hqq_n4_g32_r512,explain,5ab514c05542991779162d72,hard,bridge,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,1 3,3 1 6 0 2,a Centre of Excellence,"Sentence 1: [1] states that Wilmslow Show is held at Wilmslow High School.
Sentence 2: [2] describes Wilmslow High School as a mixed-sex 11–18 comprehensive secondary school and a designated Centre of Excellence.
Connection: Therefore, the school in which the Wilmslow Show is held is designated as a Centre of Excellence.
Answer: a Centre of Excellence",1,1023,84,10
kv_hqq_n4_g32_r512,explain,5add2b435542990d50227e11,hard,bridge,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,0 5,0 5 4 9 7,Saoirse Ronan,"Sentence 1: Billy Howle will be seen opposite Saoirse Ronan in the drama, ""On Chesil Beach"".
Sentence 2: This information is provided in the context directly relevant to the question.
Answer: Saoirse Ronan",1,583,48,10
kv_hqq_n4_g32_r512,explain,5a88d6df554299206df2b377,hard,bridge,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,5 6,5 6 1 0 3,The Lorax,"[1] states that Kool Kojak has worked with various artists including Danny DeVito. [2] introduces The Lorax, a film starring Danny DeVito. [4] mentions Kool Kojak's involvement with a song in the ""Victorious"" soundtrack. Connecting these, we see that The Lorax is the animated movie featuring Danny DeVito, and it includes music produced by Kool Kojak.
Answer: The Lorax",1,893,92,10
kv_hqq_n4_g32_r512,explain,5ae6b6065542991bbc976168,hard,bridge,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,1 8,5 1 8 3 0,Scott Adkins,"[1] states that Jean-Claude Van Damme portrayed Luc Deveraux in the original film.
[3] mentions Scott Adkins, who has starred in ""Holby City"", ""Doctor Strange"", ""The Bourne Ultimatum"", and ""Zero Dark Thirty"".
Connecting these:
Since Scott Adkins has starred in the mentioned films and [1] indicates that Van Damme portrayed Luc Deveraux, we can infer that Adkins is the actor who has played Luc Deveraux and starred in those other films.
Answer: Scott Adkins",1,994,113,10
kv_hqq_n4_g32_r512,explain,5ae531ee5542990ba0bbb1ff,hard,bridge,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,0 6,0 6 3 2 8,Jack Lowden,"Sentence 1: [1] states that Tommy's Honour is a 2016 historical drama film about Old Tom Morris and his son Young Tom Morris.
Sentence 2: [2] mentions that Jack Lowden had his first major international onscreen success in the 2016 BBC miniseries ""War & Peace"".
Connecting the useful passages: [1] discusses Tommy's Honour and its cast, while [2] provides information about Jack Lowden's early career including his success in the 2016 BBC miniseries ""War & Peace"".
Answer: Jack Lowden",1,980,122,10
kv_hqq_n4_g32_r512,explain,5a8aa5835542996c9b8d5f4e,hard,comparison,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil,5 8,5 8 7 4 2,Midnight Oil,"[2] Midnight Oil (also known informally as ""The Oils"" to fans) are an Australian rock band, who originally performed as Farm from 1972 with drummer Rob Hirst, bass guitarist Andrew James and keyboard player/lead guitarist Jim Moginie. While vocalist Peter Garrett was studying at Australian National University in Canberra, he answered an advertisement for a spot in Farm, and by 1975 the band was touring the east coast of Australia. By late 1976, Garrett moved to Sydney to complete his law degree, and Farm changed its name to Midnight Oil by drawing the name out of a hat.
Answer: Midnight Oil",1,647,136,10
kv_hqq_n4_g32_r512,explain,5ab82d095542990e739ec853,hard,bridge,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967,1 2,1 2 5 9 3,1967,"[1] states that ""Tunak Tunak Tun"" is a bhangra/pop love song by Daler Mehndi, who was born in 1967. [2] provides this birth year.
Answer: 1967",1,1132,53,10
