setting,mode,qid,level,qtype,question,gold_answer,gold_ids,retrieved_ids,prediction,raw_generation,parsed_ok,prompt_tokens,decode_tokens,n_paragraphs
evict_none_b1,explain,5a7a567255429941d65f25bd,hard,bridge,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,5 9,9 6 4 3 8,Coastal Dr.,"[1] states that Iqbal F. Qadir participated in a war with India where he was part of a flotilla that attacked a radar station in Dwarka, India. Dwarka is located on the western shore of the Okhamandal Peninsula.
[2] provides information about radar stations built during World War II, but does not mention any specific radar station on the western shore of the Okhamandal Peninsula.
Connecting the useful passages:
Iqbal F. Qadir's participation in the war with India involved attacking a radar station, which aligns with the information provided in [1], and this radar station was situated on the western shore of the Okhamandal Peninsula.
Answer: Coastal Dr.",1,699,146,10
evict_none_b1,explain,5abca1a55542993a06baf937,hard,bridge,When did the park at which Tivolis Koncertsal is located open?,15 August 1843,0 1,0 1 9 8 4,1843,"Sentence 1: [2] Tivoli Gardens is a famous amusement park and pleasure garden in Copenhagen, Denmark that opened on 15 August 1843.
Sentence 2: [1] Tivolis Koncertsal is located at Tivoli Gardens.
Connection: The park where Tivolis Koncertsal is located, Tivoli Gardens, opened in 1843.
Answer: 1843",1,419,91,10
evict_none_b1,explain,5a73977d554299623ed4ac08,hard,comparison,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,0 8,8 0 5 7 2,Armenia,"Sentence 1: Scout Tufankjian is an Armenian-American photojournalist and author based in Brooklyn, New York.
Sentence 2: Art Laboe is an Armenian American disc jockey, songwriter, record producer, and radio station owner.
Connecting: Both Scout Tufankjian and Art Laboe have Armenian ancestry.
Answer: Armenia",1,501,69,10
evict_none_b1,explain,5ab514c05542991779162d72,hard,bridge,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,1 3,3 1 6 0 2,Centre of Excellence,"Sentence 1: [1] Wilmslow Show is held at Wilmslow High School, Wilmslow, Cheshire, England.
Sentence 2: [2] Wilmslow High School is a mixed-sex 11–18 comprehensive secondary school in Wilmslow, Cheshire, and a designated Centre of Excellence.
Connection: The school where the Wilmslow Show is held (Wilmslow High School) is described as a Centre of Excellence.
Answer: Centre of Excellence",1,1023,101,10
evict_none_b1,explain,5add2b435542990d50227e11,hard,bridge,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,0 5,0 5 4 9 7,Saoirse Ronan,"Sentence 1: Billy Howle will be seen opposite Saoirse Ronan in the drama, ""On Chesil Beach"".
Sentence 2: This information is provided in Passage 1, which states that ""On Chesil Beach"" is directed by Dominic Cooke and stars Saoirse Ronan and Billy Howle.
Answer: Saoirse Ronan",1,583,69,10
evict_none_b1,explain,5a88d6df554299206df2b377,hard,bridge,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,5 6,5 6 1 0 3,"""The Lorax""","[1] states that Kool Kojak has worked with various artists including Danny DeVito. [2] introduces ""The Lorax"" as a 2012 animated film starring Danny DeVito. [4] mentions ""Best Friend's Brother"" as a song produced by Kool Kojak for the ""Victorious"" soundtrack.
Connecting these pieces of information, we see that ""The Lorax"" is the animated movie starring Danny DeVito that featured music produced by Kool Kojak.
Answer: ""The Lorax""",1,893,111,10
evict_none_b1,explain,5ae6b6065542991bbc976168,hard,bridge,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,1 8,5 1 8 3 0,Scott Adkins,"[1] states that Jean-Claude Van Damme portrayed Luc Deveraux in the original film.
[3] mentions that Scott Adkins is an actor who has starred in ""Holby City"", ""Doctor Strange"", ""Ninja"", and ""The Bourne Ultimatum"".
[3] further states that Scott Adkins has also starred in ""Zero Dark Thirty"".
Connecting these:
Scott Adkins, who played Luc Deveraux in the Universal Soldier franchise, has starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum, and Zero Dark Thirty.
Answer: Scott Adkins",1,994,125,10
evict_none_b1,explain,5ae531ee5542990ba0bbb1ff,hard,bridge,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,0 6,0 6 3 2 8,Jack Lowden,"Sentence 1: Tommy's Honour is a 2016 historical drama film depicting the lives and careers of Old Tom Morris and his son Young Tom Morris.
Sentence 2: Jack Lowden, born 2 June 1990, is a Scottish stage, television, and film actor who found success with the 2016 BBC miniseries ""War & Peace"".
Sentence 3: Jack Lowden portrays Young Tom Morris in Tommy's Honour.
Connection: Jack Lowden, who found success with the 2016 BBC miniseries ""War & Peace"", plays Young Tom Morris in the film Tommy's Honour.
Answer: Jack Lowden",1,980,137,10
evict_none_b1,explain,5a8aa5835542996c9b8d5f4e,hard,comparison,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil,5 8,5 8 7 4 2,Midnight Oil,"[2] Midnight Oil (also known informally as ""The Oils"" to fans) are an Australian rock band, who originally performed as Farm from 1972 with drummer Rob Hirst, bass guitarist Andrew James and keyboard player/lead guitarist Jim Moginie. While vocalist Peter Garrett was studying at Australian National University in Canberra, he answered an advertisement for a spot in Farm, and by 1975 the band was touring the east coast of Australia. By late 1976, Garrett moved to Sydney to complete his law degree, and Farm changed its name to Midnight Oil by drawing the name out of a hat.
Answer: Midnight Oil",1,647,136,10
evict_none_b1,explain,5ab82d095542990e739ec853,hard,bridge,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967,1 2,1 2 5 9 3,1967,"[1] states that ""Tunak Tunak Tun"" is a bhangra/pop love song by Daler Mehndi, who was born in 1967. [2] confirms Daler Mehndi's birth year.
Answer: 1967",1,1132,58,10
evict_none_b1,explain,5ae4c01e55429913cc2044f3,hard,bridge,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill,2 4,2 4 9 8 1,Captain John Underhill,"Sentence 1: The Pound Ridge massacre was a battle of Kieft's War that took place in March 1644 between the forces of New Netherland and members of the Wappinger Confederacy at a Wappinger Confederacy village in the present-day town of Pound Ridge, New York.
Sentence 2: A mixed force of 130 Dutch and English soldiers led by Captain John Underhill launched a night attack on the village and destroyed it with fire. More casualties were suffered in this attack than in any other single incident in the war.
Connection: Captain John Underhill led the attack that resulted in more casualties than any other incident in Kieft's War.
Answer: Captain John Underhill",1,837,147,10
evict_none_b1,explain,5a89fea655429970aeb701eb,hard,bridge,In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders,4 5,5 4 0 2 8,Wisdom,"Sentence 1: Nightmares (1983 film) is about a woman encountering a killer in the backseat of her car.
Sentence 2: Emilio Estevez starred in Nightmares (1983).
Connecting: Emilio Estevez starred in Nightmares (1983) in the same year as Wisdom (1986), which was written and directed by him.
Answer: Wisdom",1,709,85,10
